Main Category,Sub Category,Name,Quantity,Price,Image Link,New Image Link
Instant food,Noodles,Wai Wai Ready To Eat Chicken Flavoured Noodles,420 g,₹85,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/16140cb7-835e-4a43-9a62-7f206640bc5a.png","https://res.cloudinary.com/disiksbri/image/upload/w_270,q_70,f_auto,c_scale/grocery-lib/9fc0fa63-d43d-4467-84b0-b879ad97be20"
Instant food,Noodles,Naturally Yours Soya No Onion No Garlic Noodles,180 g,₹100,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/5da936b5-f55c-4340-a82d-e50961704d45.png","https://res.cloudinary.com/disiksbri/image/upload/w_270,q_70,f_auto,c_scale/grocery-lib/cc0ddbca-7331-4666-941b-b5915ec98871"
Instant food,Noodles,Koka Chicken Noodles,85 g,₹55,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/1ba216f1-f610-4262-b5f1-6d2e711f5b42.png","https://res.cloudinary.com/disiksbri/image/upload/w_270,q_70,f_auto,c_scale/grocery-lib/5609a13f-ebb4-421b-90f8-dc79e6e9a643"
Instant food,Noodles,Wai Wai Ready To Eat Veg Masala Flavoured Noodles,420 g,₹85,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/a1987932-b224-4012-8e63-baad6102f433.png","https://res.cloudinary.com/disiksbri/image/upload/w_270,q_70,f_auto,c_scale/grocery-lib/4ea2cf8a-f1c3-4a0d-af3e-24d66ca2b8f8"
Instant food,Noodles,Top Ramen Fiery Chilli Noodles,240 g,₹64,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/9121af05-f3b7-4a0a-887c-90981478ec3c.png","https://res.cloudinary.com/disiksbri/image/upload/w_270,q_70,f_auto,c_scale/grocery-lib/9e10818e-6456-40ab-a6d5-378d2415c9c3"
Instant food,Noodles,Nongshim Shin Ramyun Spicy Instant Noodles,114 g,₹179,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/02579bca-401d-4ac2-97b9-9f06a92f03fe.png","https://res.cloudinary.com/disiksbri/image/upload/w_270,q_70,f_auto,c_scale/grocery-lib/0d378d93-07d0-4866-8171-02ab109f2f4f"
Instant food,Noodles,Nissin Geki Hot & Spicy Korean Kimchi Ramen Cup Noodles,70 g,₹77,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/69cfadb7-2d13-4066-b115-a08ea01813f4.png","https://res.cloudinary.com/disiksbri/image/upload/w_270,q_70,f_auto,c_scale/grocery-lib/95e2043a-5a5f-4f45-89f8-d63eb14c129b"
Instant food,Noodles,Real Thai Rice Stick Noodles,375 g,₹255,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/8d9ae977-2ae1-41cc-a1e9-999f42a71aaf.png","https://res.cloudinary.com/disiksbri/image/upload/w_270,q_70,f_auto,c_scale/grocery-lib/7dfea57b-05ac-41e2-a27d-f329f4f29b51"
Instant food,Noodles,Ching's Secret Veg Hakka Noodles with Masala,140 g,₹33,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/eebed70c-2a38-4a3d-967a-9a8733ff2509.png","https://res.cloudinary.com/disiksbri/image/upload/w_270,q_70,f_auto,c_scale/grocery-lib/b60d07f0-1150-472c-96d7-d3c9df2f1102"
Instant food,Noodles,Koka Lobster Flavour Noodles,85 g,₹55,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/c76c7283-d221-4436-b104-7c48dc900207.png","https://res.cloudinary.com/disiksbri/image/upload/w_270,q_70,f_auto,c_scale/grocery-lib/a5498f1c-f664-410f-b57c-f1937f1b0d35"
